Isotope;Activity concentration for exempt material (kBq/kg);Activity limit for an exempt consignment (Bq) ;A1 [TBq];A2 [TBq];Transport Security Threshold [TBq];D-Value [TBq];Desintegration [Years]
Ac-225;10;10000;0,8;0,006;18;0,09;0,027379093
Ac-227;0;1000;0,9;0,00009;0,27;0,04;#N/A
Ac-228;10;1000000;0,6;0,5;1500;0,03;0,000718686
Ag-105;100;1000000;2;2;6000;0,1;#N/A
Ag-108m;10;1000000;0,7;0,7;2100;0,04;#N/A
Ag-110m;10;1000000;0,4;0,4;1200;0,02;0,684462697
Ag-111;1000;1000000;2;0,6;1800;2;#N/A
Al-26;10;100000;0,1;0,1;300;0,03;#N/A
Am-241;1;10000;10;0,001;0,6;0,06;432
Am-242m;1;10000;10;0,001;3;0,3;#N/A
Am-243;1;1000;5;0,001;3;0,2;7380
Ar-37;1000000;100000000;40;40;120000;UL;#N/A
Ar-39;10000000000;10000;40;20;60000;300;#N/A
Ar-41;100;1000000000;0,3;0,3;900;0,05;#N/A
As-72;10;100000;0,3;0,3;900;0,04;#N/A
As-73;1000;10000000;40;40;120000;40;#N/A
As-74;10;1000000;1;0,9;2700;0,09;0,048733744
As-76;100;100000;0,3;0,3;900;0,2;#N/A
As-77;1000;1000000;20;0,7;2100;8;0,004435318
At-211;1000;10000000;20;0,5;1500;0,5;#N/A
Au-193;100;10000000;7;2;6000;0,6;#N/A
Au-194;10;1000000;1;1;3000;0,07;#N/A
Au-195;100;10000000;10;6;18000;2;0,501026694
Au-198;100;1000000;1;0,6;2;0,2;#N/A
Au-199;100;1000000;10;0,6;1800;0,9;#N/A
Ba-131;100;1000000;2;2;6000;0,2;#N/A
Ba-133;100;1000000;3;3;9000;0,2;10,7
Ba-133m;100;1000000;20;0,6;1800;0,3;#N/A
Ba-140;10;100000;0,5;0,3;900;0,03;0,034770705
Be-10;10000;1000000;40;0,6;1800;30;#N/A
Be-7;1000;10000000;20;20;60000;1;0,145927447
Bi-205;10;1000000;0,7;0,7;2100;0,04;#N/A
Bi-206;10;100000;0,3;0,3;900;0,02;#N/A
Bi-207;10;1000000;0,7;0,7;2100;0,05;32,9
Bi-210;1000;1000000;1;0,6;1800;8;#N/A
Bi-210m;10;100000;0,6;0,02;60;0,3;#N/A
Bi-212;10;100000;0,7;0,6;1800;0,05;0,000115
Bi-213;100;1000000;;;;;0,0000875
Bi-214;10;100000;;;;;0,000913
Bk-247;1;10000;8;0,0008;2,4;0,08;#N/A
Bk-249;1000;1000000;40;0,3;900;10;#N/A
Br-76;10;100000;0,4;0,4;1200;0,03;#N/A
Br-77;100;1000000;3;3;9000;0,2;#N/A
Br-82;10;1000000;0,4;0,4;1200;0,03;0,004024641
C-11;10;1000000;1;0,6;1800;0,06;#N/A
C-14;10000;10000000;40;3;9000;50;5730
Ca-41;100000;10000000;UL;UL;UL;UL;#N/A
Ca-45;10000;10000000;40;1;3000;100;0,446269678
Ca-47;10;1000000;3;0,3;900;0,06;0,012402464
Cd-109;10000;1000000;30;2;200;20;1,27
Cd-113m;1000;1000000;40;0,5;1500;40;#N/A
Cd-115;100;1000000;3;0,4;1200;0,2;0,006105407
Cd-115m;1000;1000000;0,5;0,5;1500;3;0,122108145
Ce-139;100;1000000;7;2;6000;0,6;0,37657
Ce-141;100;10000000;20;0,6;1800;1;0,088980151
Ce-143;100;1000000;0,9;0,6;1800;0,3;0,003778234
Ce-144;100;100000;0,2;0,2;600;0,9;0,777549624
Cf-248;10;10000;40;0,006;18;0,1;#N/A
Cf-249;1;1000;3;0,0008;2,4;0,1;#N/A
Cf-250;10;10000;20;0,002;6;0,1;#N/A
Cf-251;1;1000;7;0,0007;2,1;0,1;#N/A
Cf-252;10;10000;0,1;0,003;0,2;0,02;2,64
Cf-253;100;100000;40;0,04;120;0,4;#N/A
Cf-254;1;1000;0,001;0,001;3;0,0003;#N/A
Cl-36;10000;1000000;10;0,6;1800;20;301000
Cl-38;10;100000;0,2;0,2;600;0,05;#N/A
Cm-240;100;100000;40;0,02;60;0,3;#N/A
Cm-241;100;1000000;2;1;3000;0,1;#N/A
Cm-242;100;100000;40;0,01;30;0,04;0,446269678
Cm-243;1;10000;9;0,001;3;0,2;#N/A
Cm-244;10;10000;20;0,002;0,5;0,05;18,1
Cm-245;1;1000;9;0,0009;2,7;0,09;#N/A
Cm-246;1;1000;9;0,0009;2,7;0,2;#N/A
Cm-247;1;10000;3;0,001;3;0,001;#N/A
Cm-248;1;1000;0,02;0,0003;0,9;0,005;#N/A
Co-55;10;1000000;0,5;0,5;1500;0,03;#N/A
Co-56;10;100000;0,3;0,3;900;0,02;0,21142348
Co-57;100;1000000;10;10;7;0,7;0,741957563
Co-58;10;1000000;1;1;3000;0,07;0,193839836
Co-58m;10000;10000000;40;40;120000;0,07;#N/A
Co-60;10;100000;0,4;0,4;0,3;0,03;5,27
Cr-51;1000;10000000;30;30;90000;2;0,075838467
Cs-129;100;100000;4;4;12000;0,3;#N/A
Cs-131;1000;1000000;30;30;90000;20;#N/A
Cs-132;10;100000;1;1;3000;0,1;#N/A
Cs-134;10;10000;0,7;0,7;2100;0,04;2,06
Cs-134m;1000;100000;40;0,6;1800;0,04;#N/A
Cs-135;10000;10000000;40;1;3000;UL;#N/A
Cs-136;10;100000;0,5;0,5;1500;0,03;#N/A
Cs-137;10;10000;2;0,6;1;0,1;30,16
Cu-64;100;1000000;6;1;3000;0,3;0,001448779
Cu-67;100;1000000;10;0,7;2100;0,7;#N/A
Dy-159;1000;10000000;20;20;60000;6;#N/A
Dy-165;1000;1000000;0,9;0,6;1800;3;#N/A
Dy-166;1000;1000000;0,9;0,3;900;1;#N/A
Er-169;10000;10000000;40;1;3000;200;0,025735797
Er-171;100;1000000;0,8;0,5;1500;0,2;#N/A
Eu-147;100;1000000;2;2;6000;0,2;#N/A
Eu-148;10;1000000;0,5;0,5;1500;0,03;#N/A
Eu-149;100;10000000;20;20;60000;2;#N/A
Eu-150a;10;1000000;0,7;0,7;2100;0,05;#N/A
Eu-150b;1000;1000000;2;0,7;2100;2;#N/A
Eu-152;10;1000000;1;1;3000;0,06;13,3
Eu-152m;100;1000000;0,8;0,8;2400;0,2;#N/A
Eu-154;10;1000000;0,9;0,6;1800;0,06;8,8
Eu-155;100;10000000;20;3;9000;2;4,96
Eu-156;10;1000000;0,7;0,7;2100;0,05;#N/A
F-18;10;1000000;1;0,6;1800;0,06;0,000208732
Fe-52;10;1000000;0,3;0,3;900;0,02;#N/A
Fe-55;10000;1000000;40;40;8000;800;2,7
Fe-59;10;1000000;0,9;0,9;2700;0,06;0,12183436
Fe-60;100;100000;40;0,2;600;0,06;#N/A
Ga-67;100;1000000;7;3;9000;0,5;0,008925394
Ga-68;10;100000;0,5;0,5;1500;0,07;0,000129858
Ga-72;10;100000;0,4;0,4;1200;0,03;#N/A
Gd-146;10;1000000;0,5;0,5;1500;0,03;#N/A
Gd-148;10;10000;20;0,002;6;0,4;#N/A
Gd-153;100;10000000;10;9;10;1;0,66255989
Gd-159;1000;1000000;3;0,6;1800;2;#N/A
Ge-68;10;100000;0,5;0,5;7;0,07;0,788501027
Ge-71;10000;100000000;40;40;120000;1000;#N/A
Ge-77;10;100000;0,3;0,3;900;0,06;#N/A
H-3;1000000;1000000000;40;40;120000;2000;12,3
Hf-172;10;1000000;0,6;0,6;1800;0,04;#N/A
Hf-175;100;1000000;3;3;9000;0,2;#N/A
Hf-181;10;1000000;2;0,5;1500;0,1;0,116084873
Hf-182;100;1000000;UL;UL;UL;0,05;#N/A
Hg-194;10;1000000;1;1;3000;0,07;#N/A
Hg-195m;100;1000000;3;0,7;2100;0,2;#N/A
Hg-197;100;10000000;20;10;30000;2;0,007310062
Hg-197m;100;1000000;10;0,4;1200;0,7;#N/A
Hg-203;100;100000;5;1;3000;0,3;0,127583847
Ho-166;1000;100000;0,4;0,4;1200;2;#N/A
Ho-166m;10;1000000;0,6;0,5;1500;0,04;#N/A
I-121;100;1000000;;;;;0,000242
I-123;100;10000000;6;3;9000;0,5;0,001505818
I-124;10;1000000;1;1;3000;0,06;0,011444216
I-125;1000;1000000;20;3;9000;0,2;0,164544832
I-126;100;1000000;2;1;3000;0,1;#N/A
I-129;100;100000;UL;UL;UL;UL;15700000
I-131;100;1000000;3;0,7;2100;0,2;0,02201232
I-132;10;100000;0,4;0,4;1200;0,03;0,00026155
I-133;10;1000000;0,7;0,6;1800;0,1;0,002372804
I-134;10;100000;0,3;0,3;900;0,03;#N/A
I-135;10;1000000;0,6;0,6;1800;0,04;#N/A
In-111;100;1000000;3;3;9000;0,2;0,007748118
In-113m;100;1000000;4;2;6000;0,3;#N/A
In-114m;100;1000000;10;0,5;1500;0,8;0,1375
In-115m;100;1000000;7;1;3000;0,4;#N/A
Ir-189;100;10000000;10;10;30000;1;#N/A
Ir-190;10;1000000;0,7;0,7;2100;0,05;0,032251882
Ir-192;10;10000;1;0,6;0,8;0,08;0,202600958
Ir-194;100;100000;0,3;0,3;900;0,7;#N/A
K-40;100;1000000;0,9;0,9;2700;0,2;1280000000
K-43;10;1000000;0,7;0,6;1800;0,07;#N/A
Kr-81;10000;10000000;40;40;120000;30;#N/A
Kr-85;100000;10000;10;10;30000;30;10,7
Kr-85m;1000;10000000000;8;3;9000;0,5;#N/A
Kr-87;100;1000000000;0,2;0,2;600;0,09;#N/A
Kr-88;100;1000000000;;;;;0,0003242
La-137;1000;10000000;30;6;18000;20;#N/A
La-140;10;100000;0,4;0,4;1200;0,03;0,004599589
Lu-172;10;1000000;0,6;0,6;1800;0,04;0,0183436
Lu-173;100;10000000;8;8;24000;0,9;#N/A
Lu-174;100;10000000;9;9;27000;0,8;#N/A
Lu-174m;100;10000000;20;10;30000;0,6;#N/A
Lu-177;1000;10000000;30;0,7;2100;2;0,018370979
Lu-177m;10;1000000;;;;;0,43945
Mg-28;10;100000;0,3;0,3;900;0,02;#N/A
Mn-52;10;100000;0,3;0,3;900;0,02;#N/A
